ID,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Number,Street,Side,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
A-14828,4,1/2/2017 15:37,1/2/2017 21:37,30.06715,-90.48143,30.06938,-90.485371,0.282,Closed at Cambridge Dr - Road closed due to accident.,,New Highway 51,R,LA Place,St. John the Baptist,LA,70068,US,US/Central,KMSY,1/2/2017 15:49,69.8,,94,29.87,1,NNW,11.5,0.18,Heavy Thunderstorms and Rain,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-108846,2,1/2/2017 18:36,1/3/2017 0:36,37.73226,-122.43197,37.731132,-122.436453,0.257,At Monterey Blvd/San Jose Ave - Accident.,,I-280 S,R,San Francisco,San Francisco,CA,94112,US,US/Pacific,KSFO,1/2/2017 18:56,50,,74,30.04,10,SE,12.7,,Mostly Cloudy,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
A-14868,3,1/2/2017 21:52,1/3/2017 3:52,44.60125,-92.99326,44.627926,-92.99457,1.844,Between MN-50 and 222nd St E - Accident.,5591, 240th St E,L,Hampton,Dakota,MN,55031-9606,US,US/Central,KSYN,1/2/2017 21:54,32.5,,96,29.91,1.2,Calm,,,Light Snow,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
A-41144,3,1/3/2017 6:08,1/3/2017 12:08,40.71331,-73.95411,40.71073,-73.95606,0.205,At Williamsburg Bridge/Exit 32 - Accident.,,Brooklyn Queens Expy,R,Brooklyn,Kings,NY,11211,US,US/Eastern,KJRB,1/3/2017 6:15,41,31.1,93,30.42,,NNE,23,,Overcast,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Day
A-108877,2,1/3/2017 7:10,1/3/2017 13:10,36.137417,-115.1369,36.136287,-115.1369,0.078,At S Maryland Pky - Accident.,2889, S Maryland Pkwy,R,Las Vegas,Clark,NV,89109-1511,US,US/Pacific,KLAS,1/3/2017 6:56,45,41.2,68,30.06,10,West,6.9,,Overcast,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-41211,2,1/3/2017 8:13,1/3/2017 14:13,35.33279,-80.79906,35.33279,-80.79906,0,At Sugar Creek Rd - Accident.,3998, W W.T. Harris Blvd,L,Charlotte,Mecklenburg,NC,28269,US,US/Eastern,KJQF,1/3/2017 7:53,46.4,44.3,93,29.91,1.5,North,4.6,,Overcast,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Day,Day,Day,Day
A-41248,3,1/3/2017 9:30,1/3/2017 15:30,30.99529,-83.38909,30.98914,-83.38719,0.44,At US-41/GA-122/Exit 29 - Accident.,,I-75 S,R,Hahira,Lowndes,GA,31632,US,US/Eastern,KVAD,1/3/2017 9:26,68,,94,29.93,10,South,8.1,,Light Rain,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-41299,2,1/3/2017 11:10,1/3/2017 17:10,40.58603,-73.93676,40.58396,-73.92526,0.62,At Knapp St/Exit 9 - Accident.,,Belt Pkwy E,R,Brooklyn,Kings,NY,11235,US,US/Eastern,KJRB,1/3/2017 11:15,42.8,34.5,93,30.42,,NE,18.4,9.99,Overcast,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-41405,2,1/3/2017 13:25,1/3/2017 19:25,29.97269,-90.06557,29.97437,-90.0641,0.146,At LA-39/Claiborne Ave/Exit 236 - Accident.,,I-10 E,R,New Orleans,Orleans,LA,70116,US,US/Pacific,KAUD,1/3/2017 12:55,72,72,66,29.91,10,S,9,0,Mostly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-108943,2,1/3/2017 15:12,1/3/2017 21:12,32.79919,-117.21107,32.79672,-117.20962,0.19,At Grand Ave/Garnet Ave/Exit 23A - Accident.,,San Diego Fwy S,R,San Diego,San Diego,CA,92117,US,US/Pacific,KMYF,1/3/2017 14:53,60.1,,53,30.11,10,NNW,5.8,,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
